RunnerPosition,Name,Club,FinishTime,RunnerCategory
67,Karen Powell,Carnethy HRC,3:29:36,F
68,Tracey Brindley,Cosmic Hill Bashers,3:29:36,F
69,Patrick Walder,Kilbarcean,3:30:40,M
70,Archie Cameron,Westerlands Cross Country Club,3:30:50,M
71,Main McIntosh,Ochil Hill Runners,3:31:12,F
72,Ewan Rennie,Cosmic Hill Bashers,3:32:10,M
73,Brian Ilowie,City Of Edinburgh,3:32:36,M
74,Alan Grahai,Lomond Hill Runners,3:32:47,M
75,Joel Laker,Pudsey and Bramley Athletic Club,3:32:56,M
76,Herbie McLean,Unattached,3:34:31,M
77,Neil MacGregor,Shettleston Harriers,3:35:00,M
78,Stuart Knowles,Fife Athletic Club,3:35:22,M
79,Phil Forte,Dundee Hawkhill Harriers,3:35:38,M
80,James Lamb,Lomond Hill Runners,3:36:35,M
81,Martin Stone,Kendal Athletic Club,3:37:33,M
82,John Quine,Kendal Athletic Club,3:37:42,M
83,Peter Baxter,Westerlands Cross Country Club,3:38:23,M
84,Tony Ritchie,Westerlands Cross Country Club,3:38:41,M
85,Robert Daly,Cosmic Hill Bashers,3:39:13,M
86,Dennis McDonald,Cosmic Hill Bashers,3:40:41,M
87,Joanna McClintock,Gallows,3:40:47,F
88,Eua Moody,Northumberland Fell Runners,3:42:19,F
89,Debbie Thoipson,Kendal Athletic Club,3:42:28,F
90,Elspeth Scott,Westerlands Cross Country Club,3:44:15,F
91,Corina Cranier,Perth Road Runners,3:45:10,F
92,Neil Wooliscroft,Doncaster,3:45:29,M
93,Brian Jackson - -,Clayton Le-moors Harriers,3:46:10,M
94,Richard White,Carnethy HRC,3:46:40,M
95,Roger Tavendale,Dundee Hawkhill Harriers,3:47:26,M
96,Paramjit J Bhogal,Abbey Runners,3:47:40,M
97,Ian Donnelly,Law And District,3:47:45,M
98,Steve Briggs,Ochil Hill Runners,3:48:34,M
99,Andrew White,Cosmic Hill Bashers,3:48:49,M
100,John Littlewood,Carnethy HRC,3:48:57,M
101,Katy Boocock,Cosmic Hill Bashers,3:48:58,F
102,Glyn Jones,Gallows,3:48:58,M
103,Eddie DeÃ ltry,Ochil Hill Runners,3:49:03,M
104,Dick Wall,Hunters Bog Trotters,3:49:22,M
105,Deborah Jane Macdonald,Hunters Bog Trotters,3:49:29,F
106,Robert Wilson,Ochil Hill Runners,3:49:30,M
107,Moira Stewart,Carnethy HRC,3:49:39,F
108,Neil Dyson,Mandale Harriers,3:52:03,M
109,Nigel Rose,Carnethy HRC,3:54:22,M
110,Andy Wadsworth,Hunters Bog Trotters,3:54:25,M
111,Marqarte Stafford,Cosmic Hill Bashers,3:55:15,F
112,Ian McNulty,Dundee Hawkhill Harriers,3:56:52,M
113,Eucarne Matuzane,Cosmic Hill Bashers,3:57:17,F
114,Kenneth McGuire,Fife Athletic Club,3:57:23,M
115,Frank Cation,Fife Athletic Club,3:57:34,M
116,Andrew Johnson,Cosmic Hill Bashers,4:00:20,M
117,Drew Turnbull,Westerlands Cross Country Club,4:01:17,M50
118,Maurice Paxton,Perth Strathtay,4:02:07,M
119,Jim Paxton,Gala Harriers,4:02:07,M
120,Alastair Matthewson,Livingston and District Athletic Club,4:02:19,M
121,Trevor Collins,Carnethy HRC,4:04:35,M
122,Bob Hughes,Ochil Hill Runners,4:04:37,M
123,Christine Menhennet,Westerlands Cross Country Club,4:04:43,F
124,Bruce Smith,Standard Life Athletic Club,4:05:46,M
125,Ralph Burton,Unattached,4:06:03,M
126,Malcolm MacLachian,Carnethy HRC,4:09:05,M
127,Norman Dunning,Unattached,4:09:50,M
128,Elaine Stewart,Cosmic Hill Bashers,4:10:24,F
129,Diana Turner,Solway Orienteers,4:13:03,F
130,Angela Wood,Standard Life Athletic Club,4:13:45,F
131,Richard Gatehouse,Lomond Hill Runners,4:14:23,M
132,Anne Thomson,Cosmic Hill Bashers,4:15:17,F
133,Gavin Struthers,Westerlands Cross Country Club,4:15:28,M
134,Jean Cairns,Westerlands Cross Country Club,4:16:12,F
135,Eric Dodd,Strathtay Harriers,4:17:03,M
136,Marjorie Small,Clydesdale Harriers,4:17:20,F
137,Keith Greenwood,Cosmic Hill Bashers,4:20:38,M
138,Alison West,Carnethy HRC,4:20:54,F
139,Jane Saul,Northumberland Fell Runners,4:22:16,F
140,Jimmy Tomlin,Horpeth,4:24:19,M
141,Joe Howard,Preston Harriers,4:24:55,M
142,Tim Doyle,Fairl,4:25:50,M
143,Peter Calboutin,Unattached,4:27:44,M
144,Mark Silmon,North Shields,4:27:45,M
145,Chris Hall,Road Runners Club,4:29:14,M
146,William Howarth,Denby Dale Travellers,4:32:48,M
147,Peter Hunter,Hunters Bog Trotters,4:32:50,M
148,Isabel Coombs,Westerlands Cross Country Club,4:33:58,F
149,Duncan McGuire,Fife Athletic Club,4:33:59,M
150,Noreen Jennison,Westerlands Cross Country Club,4:33:59,F
151,Carl Lane,Road Runners Club,4:34:20,M
152,Jack Gillies,Carnethy HRC,4:35:20,M
153,Don Adan,Fife Athletic Club,4:36:53,M
154,Serena Michlizzi,Carnethy HRC,4:36:54,F
155,Paula Drollet,Carnethy HRC,4:36:55,F
156,Joanne Anderson,Carnethy HRC,4:36:56,F
157,R MacDonald,Lasswade Athletic Club,4:42:44,M
158,Alison Shaw,Abbey Runners,4:43:15,F
159,John Wilkins,Arbroath Footers,4:45:19,M
160,James McGregor,Dundee Hawkhill Harriers,4:45:38,M
161,Louise Provan,Dundee Hawkhill Harriers,4:45:39,F
162,Stephen Elliot,Unattached,4:47:55,M
163,Jim Drunond,Central Region Athletic Club,4:50:57,M
164,John Coon,Livingston and District Athletic Club,4:51:12,M
165,Frank McLaren,Fife Athletic Club,4:53:24,M
166,Alastair Robertson,Fife Athletic Club,5:02:04,M
